"Verslagperiode","id","Productgroep","Omzet","Aantal"
201409,15,1,330490,543333
201410,15,1,279590.86,405385
201411,15,1,252053.1,410339
201412,15,1,119116.77,201917
201101,16,1,210601.07,92142
201102,16,1,162765.86,71266
201103,16,1,177436.66,71490
201104,16,1,181389.51,73060
201105,16,1,230262.42,88713
201106,16,1,201127.13,75004
201107,16,1,171164.86,64014
201108,16,1,228501.53,85284
201109,16,1,199698.01,74688
201110,16,1,204771.85,83906
201111,16,1,148434.62,59937
201112,16,1,133807.89,54109
201201,16,1,212195.71,85575
201202,16,1,166133.22,67050
201203,16,1,121048.29,48889
201204,16,1,189874.25,76748
201205,16,1,163910.65,63003
201206,16,1,184498.55,62043
201207,16,1,220753.84,74290
201208,16,1,289115.43,107271
201209,16,1,253413.12,85163
201210,16,1,327586.65,117504
201211,16,1,183373.27,62268
201212,16,1,164556.47,58260
201301,16,1,268735.14,97447
201302,16,1,234689.32,94473
201303,16,1,193929.7,65948
201304,16,1,284717.88,95839
201305,16,1,219602.87,73726
201306,16,1,232543.13,73318
201307,16,1,226188.8,69036
201308,16,1,204079.36,62199
201309,16,1,237443.03,72409
201310,16,1,190264.24,63805
201311,16,1,162033.51,54433
201312,16,1,176556.86,68601
201401,16,1,206764.42,69598
201402,16,1,254028.94,122299
201403,16,1,196421.58,66183
201404,16,1,139331.39,46999
201405,16,1,158429.82,53234
201406,16,1,262187.15,93802
201407,16,1,140024.58,47114
201408,16,1,210978.34,75770
201409,16,1,191624.94,67065
201410,16,1,129814.92,46808
201411,16,1,192904.1,87025
201412,16,1,53697.36,19398
201101,17,1,59568.4,24002
201102,17,1,123147.9,49734
201103,17,1,170226.51,74307
201104,17,1,174553.19,70262
201105,17,1,262444.12,105644
201106,17,1,221096.76,89008
201107,17,1,239248.31,103770
201108,17,1,328470.18,139609
201109,17,1,259435.96,104537
201110,17,1,220551.44,88900
201111,17,1,230214.68,99841
201112,17,1,223171.01,97406
201201,17,1,387382.61,156172
201202,17,1,336288.07,135534
201203,17,1,232921.07,93955
201204,17,1,408650.53,164704
201205,17,1,343420.88,138135
201206,17,1,385066.01,166370
201207,17,1,459816.67,185641
201208,17,1,500153.48,199999
201209,17,1,402967.41,142845
201210,17,1,227832.74,76514
201211,17,1,338710.97,128050
201212,17,1,292030.74,99086
